ID,Reached.on.Time_Y.N
7000,0
7001,1
7002,0
7003,1
7004,0
7005,1
7006,1
7007,0
7008,1
7009,1
7010,0
7011,1
7012,1
7013,1
7014,0
7015,0
7016,0
7017,1
7018,0
7019,0
7020,1
7021,1
7022,1
7023,1
7024,1
7025,1
7026,0
7027,1
7028,0
7029,0
7030,1
7031,0
7032,0
7033,1
7034,0
7035,0
7036,1
7037,1
7038,1
7039,1
7040,0
7041,1
7042,1
7043,0
7044,1
7045,1
7046,1
7047,1
7048,1
7049,1
7050,1
7051,1
7052,0
7053,1
7054,1
7055,0
7056,1
7057,1
7058,0
7059,1
7060,1
7061,1
7062,1
7063,1
7064,1
7065,1
7066,0
7067,0
7068,0
7069,1
7070,1
7071,1
7072,0
7073,1
7074,0
7075,1
7076,1
7077,1
7078,0
7079,1
7080,1
7081,0
7082,1
7083,0
7084,0
7085,1
7086,1
7087,1
7088,0
7089,1
7090,1
7091,1
7092,1
7093,1
7094,1
7095,0
7096,0
7097,0
7098,1
7099,0
7100,1
7101,0
7102,1
7103,1
7104,1
7105,1
7106,0
7107,0
7108,0
7109,1
7110,0
7111,0
7112,0
7113,1
7114,1
7115,1
7116,0
7117,0
7118,1
7119,0
7120,1
7121,0
7122,1
7123,1
7124,1
7125,0
7126,1
7127,0
7128,1
7129,1
7130,0
7131,1
7132,1
7133,1
7134,1
7135,0
7136,1
7137,0
7138,0
7139,1
7140,1
7141,1
7142,1
7143,0
7144,1
7145,0
7146,1
7147,1
7148,0
7149,1
7150,1
7151,0
7152,0
7153,1
7154,0
7155,1
7156,0
7157,1
7158,0
7159,1
7160,0
7161,1
7162,0
7163,1
7164,1
7165,0
7166,1
7167,1
7168,1
7169,1
7170,1
7171,0
7172,1
7173,0
7174,0
7175,0
7176,0
7177,1
7178,1
7179,0
7180,1
7181,1
7182,1
7183,1
7184,1
7185,0
7186,0
7187,1
7188,0
7189,1
7190,1
7191,0
7192,1
7193,1
7194,0
7195,0
7196,1
7197,0
7198,1
7199,1
7200,1
7201,0
7202,1
7203,1
7204,1
7205,0
7206,1
7207,0
7208,0
